,question,ans,blanks,a),b),c),d),e)
72447,The police officers decided to conduct a thorough and _____ review of the case. ,a,1,The police officers decided to conduct a thorough and comprehensive review of the case.,The police officers decided to conduct a thorough and complicated review of the case.,The police officers decided to conduct a thorough and conscious review of the case.,The police officers decided to conduct a thorough and constant review of the case.,
72448,It was by making every effort _____ she caught up with other students. ,b,1,It was by making every effort why she caught up with other students.,It was by making every effort that she caught up with other students.,It was by making every effort what she caught up with other students.,It was by making every effort which she caught up with other students.,
72449,My mother _____ what she set out to do. ,d,1,My mother finished what she set out to do.,My mother achieved what she set out to do.,My mother completed what she set out to do.,My mother accomplished what she set out to do.,
72450,"My friend Frank sings well, _____ he is also good at playing the guitar. ",b,1,"My friend Frank sings well, but he is also good at playing the guitar.","My friend Frank sings well, and he is also good at playing the guitar.","My friend Frank sings well, yet he is also good at playing the guitar.","My friend Frank sings well, or he is also good at playing the guitar.",
72451,This kind of sweater is so nice. I want to buy _____ .,a,1,This kind of sweater is so nice. I want to buy one .,This kind of sweater is so nice. I want to buy it .,This kind of sweater is so nice. I want to buy that .,This kind of sweater is so nice. I want to buy this .,
72452,The famous singer is so devoted to helping children in poor areas that she _____ high praise. ,b,1,The famous singer is so devoted to helping children in poor areas that she desires high praise.,The famous singer is so devoted to helping children in poor areas that she deserves high praise.,The famous singer is so devoted to helping children in poor areas that she prefers high praise.,The famous singer is so devoted to helping children in poor areas that she preserves high praise.,
72453,"The change of students' _____ of majors could be because they care more about finding a better job, reported the Atlantic. ",b,1,"The change of students' concentration of majors could be because they care more about finding a better job, reported the Atlantic.","The change of students' preference of majors could be because they care more about finding a better job, reported the Atlantic.","The change of students' appetite of majors could be because they care more about finding a better job, reported the Atlantic.","The change of students' variety of majors could be because they care more about finding a better job, reported the Atlantic.",
72454,We can go for a walk _____ it is fine tomorrow. ,a,1,We can go for a walk if it is fine tomorrow.,We can go for a walk that it is fine tomorrow.,We can go for a walk so it is fine tomorrow.,We can go for a walk but it is fine tomorrow.,
72455,There _____ a foal there. ,c,1,There be a foal there.,There are a foal there.,There is a foal there.,,
72456,It's a _____ dress. ,a,1,It's a lovely dress.,It's a love dress.,It's a expensive dress.,It's a old dress.,
72457,I play football _____ the weekend. ,c,1,I play football in the weekend.,I play football at the weekend.,I play football on the weekend.,,
72458,You should use the machine according to the _____ . ,c,1,You should use the machine according to the memory .,You should use the machine according to the speed .,You should use the machine according to the instruction .,You should use the machine according to the owner .,
72459,Sunny and I _____ tennis last Monday. ,c,1,Sunny and I play tennis last Monday.,Sunny and I plays tennis last Monday.,Sunny and I played tennis last Monday.,Sunny and I plaied tennis last Monday.,
72460,My uncle _____ in a bank. ,b,1,My uncle work in a bank.,My uncle works in a bank.,My uncle working in a bank.,,
72461,The volunteers often help _____ old. ,c,1,The volunteers often help a old.,The volunteers often help / old.,The volunteers often help the old.,The volunteers often help an old.,
72462,Can I see _____ new bag? ,b,1,Can I see you new bag?,Can I see your new bag?,Can I see / new bag?,,
72463,I _____ a watch. I must find it.,b,1,I have a watch. I must find it.,I lost a watch. I must find it.,I look a watch. I must find it.,I help a watch. I must find it.,
72464,I lost my pen. I can't _____ it.,a,1,I lost my pen. I can't find it.,I lost my pen. I can't boil it.,I lost my pen. I can't catch it.,,
72465,There is no living thing on _____ moon. ,a,1,There is no living thing on the moon.,There is no living thing on a moon.,There is no living thing on an moon.,There is no living thing on / moon.,
72466,Turn _____ leftat the restaurant. ,a,1,Turn right leftat the restaurant.,Turn straight leftat the restaurant.,Turn early leftat the restaurant.,,
72467,Here _____ a potato for you. ,c,1,Here am a potato for you.,Here are a potato for you.,Here is a potato for you.,,
72468, _____ you want a cup? ,a,1,Do you want a cup?,Does you want a cup?,Are you want a cup?,Is you want a cup?,
72469,This is _____ English book. ,b,1,This is a English book.,This is an English book.,This is the English book.,,
72470,Something _____ means something that is interesting and full of life. ,a,1,Something lively means something that is interesting and full of life.,Something alive means something that is interesting and full of life.,Something living means something that is interesting and full of life.,,
72471,John wants to make the floor _____ . ,b,1,John wants to make the floor cleanly .,John wants to make the floor clean .,John wants to make the floor tidily .,John wants to make the floor clearly .,
72472,"There is a strong wind, _____ I want to close all the windows.",a,1,"There is a strong wind, so I want to close all the windows.","There is a strong wind, or I want to close all the windows.","There is a strong wind, but I want to close all the windows.","There is a strong wind, because I want to close all the windows.",
72473,We are at the library. Please _____ quiet . ,b,1,We are at the library. Please do quiet .,We are at the library. Please be quiet .,We are at the library. Please can quiet .,We are at the library. Please are quiet .,
